lat,long
52.87045734,13.26692198
52.87052016,13.26681577
52.87058299,13.26670955
52.87064581,13.26660333
52.87070863,13.26649712
52.87077145,13.2663909
52.87083428,13.26628468
52.8708971,13.26617847
52.87095992,13.26607225
52.87102274,13.26596603
52.87108556,13.26585967
52.87114839,13.26575345
52.87121121,13.26564723
52.87127403,13.26554101
52.87129833,13.26568417
52.87123551,13.26579039
52.87117268,13.26589661
52.87110986,13.26600282
52.87104704,13.26610904
52.87098422,13.26621526
52.8709213,13.26632148
52.87085848,13.2664277
52.87079566,13.26653391
52.87073284,13.26664013
52.87067001,13.26674635
52.87060719,13.26685256
52.87054437,13.26695878
52.87048154,13.26706499
52.87041872,13.26717121
52.8703559,13.26727742
52.87029307,13.26738364
52.87023025,13.26748985
52.87016743,13.26759606
52.8701046,13.26770228
52.87004178,13.26780849
52.86997895,13.2679147
52.86991604,13.26802092
52.86985321,13.26812713
52.86979039,13.26823334
